Timestamp           ,ProductionOrderID ,LineID ,EquipmentID ,EquipmentType ,ProductID ,ProductName       ,MachineStatus ,DowntimeReason ,GoodUnitsProduced ,ScrapUnitsProduced ,TargetRate_units_per_5min ,StandardCost_per_unit ,SalePrice_per_unit ,Availability_Score ,Performance_Score ,Quality_Score ,OEE_Score
2025-06-01 00:00:00 ,ORD-1000          ,     1 ,LINE1-FIL   ,Filler        ,SKU-2002  ,16oz Energy Drink ,Running       ,               ,              218 ,                 4 ,                      450 ,                 0.55 ,              1.75 ,             100.0 ,             49.3 ,         98.2 ,     48.4
2025-06-01 00:00:00 ,ORD-1000          ,     1 ,LINE1-PCK   ,Packer        ,SKU-2002  ,16oz Energy Drink ,Stopped       ,UNP-JAM        ,                0 ,                 0 ,                      450 ,                 0.55 ,              1.75 ,               0.0 ,              0.0 ,          0.0 ,      0.0
2025-06-01 00:00:00 ,ORD-1000          ,     1 ,LINE1-PAL   ,Palletizer    ,SKU-2002  ,16oz Energy Drink ,Running       ,               ,              249 ,                 5 ,                      450 ,                 0.55 ,              1.75 ,             100.0 ,             56.4 ,         98.0 ,     55.3
2025-06-01 00:00:00 ,ORD-1039          ,     2 ,LINE2-FIL   ,Filler        ,SKU-2001  ,12oz Soda         ,Running       ,               ,              324 ,                 4 ,                      475 ,                 0.2  ,              0.65 ,             100.0 ,             69.1 ,         98.8 ,     68.2
2025-06-01 00:00:00 ,ORD-1039          ,     2 ,LINE2-PCK   ,Packer        ,SKU-2001  ,12oz Soda         ,Stopped       ,UNP-JAM        ,                0 ,                 0 ,                      475 ,                 0.2  ,              0.65 ,               0.0 ,              0.0 ,          0.0 ,      0.0
2025-06-01 00:00:00 ,ORD-1039          ,     2 ,LINE2-PAL   ,Palletizer    ,SKU-2001  ,12oz Soda         ,Stopped       ,UNP-ELEC       ,                0 ,                 0 ,                      475 ,                 0.2  ,              0.65 ,               0.0 ,              0.0 ,          0.0 ,      0.0
2025-06-01 00:00:00 ,ORD-1080          ,     3 ,LINE3-FIL   ,Filler        ,SKU-2001  ,12oz Soda         ,Running       ,               ,              356 ,                 5 ,                      475 ,                 0.2  ,              0.65 ,             100.0 ,             76.0 ,         98.6 ,     74.9
2025-06-01 00:00:00 ,ORD-1080          ,     3 ,LINE3-PCK   ,Packer        ,SKU-2001  ,12oz Soda         ,Running       ,               ,              301 ,                 4 ,                      475 ,                 0.2  ,              0.65 ,             100.0 ,             64.2 ,         98.7 ,     63.4
2025-06-01 00:00:00 ,ORD-1080          ,     3 ,LINE3-PAL   ,Palletizer    ,SKU-2001  ,12oz Soda         ,Running       ,               ,              376 ,                 5 ,                      475 ,                 0.2  ,              0.65 ,             100.0 ,             80.2 ,         98.7 ,     79.2
2025-06-01 00:05:00 ,ORD-1000          ,     1 ,LINE1-FIL   ,Filler        ,SKU-2002  ,16oz Energy Drink ,Running       ,               ,              235 ,                 4 ,                      450 ,                 0.55 ,              1.75 ,             100.0 ,             53.1 ,         98.3 ,     52.2
